,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,is_canceled,reservation_status,reservation_status_date,cluster,split,representation_id,method
10,Resort Hotel,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,123.0,0,0,1,Canceled,2015-06-23,0,train,R4_dropRedundant,kmeans
11,Resort Hotel,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,145.0,0,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
12,Resort Hotel,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,97.0,0,3,0,Check-Out,2015-07-05,0,val,R4_dropRedundant,kmeans
13,Resort Hotel,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,No Deposit,Transient,154.77,0,1,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
14,Resort Hotel,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,94.71,0,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
15,Resort Hotel,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,97.0,0,3,0,Check-Out,2015-07-05,0,val,R4_dropRedundant,kmeans
16,Resort Hotel,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,97.5,0,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
17,Resort Hotel,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,88.2,0,0,0,Check-Out,2015-07-02,0,train,R4_dropRedundant,kmeans
18,Resort Hotel,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,No Deposit,Transient,107.42,0,0,0,Check-Out,2015-07-02,0,train,R4_dropRedundant,kmeans
19,Resort Hotel,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,No Deposit,Transient,153.0,0,1,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
20,Resort Hotel,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,No Deposit,Transient,97.29,0,1,0,Check-Out,2015-07-06,0,train,R4_dropRedundant,kmeans
21,Resort Hotel,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,Transient,84.67,0,1,0,Check-Out,2015-07-07,0,val,R4_dropRedundant,kmeans
22,Resort Hotel,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,Transient,84.67,0,1,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
23,Resort Hotel,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,No Deposit,Transient,99.67,0,1,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
24,Resort Hotel,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,94.95,0,1,0,Check-Out,2015-07-01,0,train,R4_dropRedundant,kmeans
25,Resort Hotel,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,63.6,1,0,0,Check-Out,2015-07-08,0,train,R4_dropRedundant,kmeans
26,Resort Hotel,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,79.5,0,0,0,Check-Out,2015-07-08,0,train,R4_dropRedundant,kmeans
27,Resort Hotel,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,107.0,0,2,1,Canceled,2015-05-11,0,train,R4_dropRedundant,kmeans
28,Resort Hotel,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,94.0,0,0,0,Check-Out,2015-07-08,0,train,R4_dropRedundant,kmeans
29,Resort Hotel,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,87.3,1,1,0,Check-Out,2015-07-08,0,train,R4_dropRedundant,kmeans
30,Resort Hotel,118,2015,July,27,1,4,10,1,0,0,BB,,Direct,Direct,0,0,0,A,No Deposit,Transient,62.0,0,2,0,Check-Out,2015-07-15,0,train,R4_dropRedundant,kmeans
31,Resort Hotel,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,63.86,0,0,0,Check-Out,2015-07-16,0,train,R4_dropRedundant,kmeans
32,Resort Hotel,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,No Deposit,Transient,108.3,0,2,1,Canceled,2015-05-29,0,train,R4_dropRedundant,kmeans
33,Resort Hotel,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,65.5,0,0,0,Check-Out,2015-07-08,0,train,R4_dropRedundant,kmeans
34,Resort Hotel,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,108.8,0,1,1,Canceled,2015-05-19,0,train,R4_dropRedundant,kmeans
35,Resort Hotel,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,108.8,0,1,1,Canceled,2015-06-19,0,train,R4_dropRedundant,kmeans
36,Resort Hotel,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,98.0,0,0,0,Check-Out,2015-07-06,0,train,R4_dropRedundant,kmeans
37,Resort Hotel,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,108.8,0,1,0,Check-Out,2015-07-06,0,train,R4_dropRedundant,kmeans
38,Resort Hotel,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,108.8,0,0,1,Canceled,2015-05-23,0,train,R4_dropRedundant,kmeans
39,Resort Hotel,70,2015,July,27,2,2,3,2,0,0,HB,Other,Direct,Direct,0,0,0,E,No Deposit,Transient,137.0,0,1,0,Check-Out,2015-07-07,0,val,R4_dropRedundant,kmeans
40,Resort Hotel,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,No Deposit,Transient,117.81,0,0,1,Canceled,2015-05-18,0,train,R4_dropRedundant,kmeans
41,Resort Hotel,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,79.5,0,0,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
42,Resort Hotel,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,No Deposit,Transient,123.0,0,0,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
43,Resort Hotel,70,2015,July,27,2,2,3,2,0,0,HB,Other,Direct,Direct,0,0,0,E,No Deposit,Transient,137.0,0,1,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
44,Resort Hotel,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,110.7,0,2,0,Check-Out,2015-07-09,0,train,R4_dropRedundant,kmeans
45,Resort Hotel,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,No Deposit,Transient,153.0,0,0,1,Canceled,2015-06-02,0,train,R4_dropRedundant,kmeans
46,Resort Hotel,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,58.95,0,1,0,Check-Out,2015-07-09,0,train,R4_dropRedundant,kmeans
47,Resort Hotel,113,2015,July,27,2,2,5,2,0,0,BB,Other,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Transient-Party,82.88,0,2,0,Check-Out,2015-07-09,0,train,R4_dropRedundant,kmeans
48,Resort Hotel,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,82.35,0,0,0,Check-Out,2015-07-09,0,val,R4_dropRedundant,kmeans
49,Resort Hotel,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,119.35,0,1,0,Check-Out,2015-07-09,0,train,R4_dropRedundant,kmeans
50,Resort Hotel,113,2015,July,27,2,2,5,2,0,0,BB,Other,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient-Party,67.58,0,2,0,Check-Out,2015-07-09,0,val,R4_dropRedundant,kmeans
51,Resort Hotel,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,56.01,0,0,0,Check-Out,2015-07-13,0,train,R4_dropRedundant,kmeans
52,Resort Hotel,76,2015,July,27,2,4,10,2,0,0,BB,Other,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,110.7,0,0,0,Check-Out,2015-07-16,0,train,R4_dropRedundant,kmeans
53,Resort Hotel,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,88.2,1,0,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
54,Resort Hotel,1,2015,July,27,2,0,1,2,0,0,BB,Other,Online TA,TA/TO,0,0,0,Other,No Deposit,Transient,147.0,1,0,0,Check-Out,2015-07-03,0,val,R4_dropRedundant,kmeans
55,Resort Hotel,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,Other,No Deposit,Transient,107.0,1,2,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
56,Resort Hotel,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,Other,No Deposit,Transient,147.0,0,0,0,Check-Out,2015-07-03,0,val,R4_dropRedundant,kmeans
57,Resort Hotel,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,117.9,0,2,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
58,Resort Hotel,0,2015,July,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,No Deposit,Transient,123.0,0,0,0,Check-Out,2015-07-03,0,train,R4_dropRedundant,kmeans
59,Resort Hotel,14,2015,July,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,98.0,0,1,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
60,Resort Hotel,10,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,No Deposit,Transient,117.81,0,0,0,Check-Out,2015-07-04,0,val,R4_dropRedundant,kmeans
61,Resort Hotel,5,2015,July,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,135.0,1,2,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
62,Resort Hotel,17,2015,July,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,No Deposit,Transient,133.0,0,1,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
63,Resort Hotel,93,2015,July,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,58.95,0,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
64,Resort Hotel,3,2015,July,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,136.33,0,2,1,Canceled,2015-06-29,0,train,R4_dropRedundant,kmeans
65,Resort Hotel,10,2015,July,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,No Deposit,Transient,153.0,1,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
66,Resort Hotel,3,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,110.5,0,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
67,Resort Hotel,51,2015,July,27,3,0,2,2,0,0,BB,Other,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,97.0,0,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
68,Resort Hotel,71,2015,July,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,110.3,0,2,1,Canceled,2015-06-16,0,train,R4_dropRedundant,kmeans
69,Resort Hotel,63,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,82.0,0,2,1,Canceled,2015-06-18,0,train,R4_dropRedundant,kmeans
70,Resort Hotel,62,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,97.0,0,1,1,Canceled,2015-07-03,0,val,R4_dropRedundant,kmeans
71,Resort Hotel,101,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,73.8,0,1,1,Canceled,2015-06-12,0,train,R4_dropRedundant,kmeans
72,Resort Hotel,2,2015,July,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,91.5,0,0,0,Check-Out,2015-07-05,0,val,R4_dropRedundant,kmeans
73,Resort Hotel,15,2015,July,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,114.5,0,0,0,Check-Out,2015-07-05,0,train,R4_dropRedundant,kmeans
74,Resort Hotel,51,2015,July,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,110.3,0,0,1,Canceled,2015-06-09,0,train,R4_dropRedundant,kmeans
75,Resort Hotel,3,2015,July,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,90.9,1,0,0,Check-Out,2015-07-06,0,train,R4_dropRedundant,kmeans
76,Resort Hotel,48,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,123.0,0,0,1,Canceled,2015-05-26,0,val,R4_dropRedundant,kmeans
77,Resort Hotel,2,2015,July,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,122.0,0,0,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
78,Resort Hotel,72,2015,July,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,110.7,1,0,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
79,Resort Hotel,81,2015,July,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,85.86,0,0,0,Check-Out,2015-07-11,0,train,R4_dropRedundant,kmeans
80,Resort Hotel,99,2015,July,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,58.95,0,0,0,Check-Out,2015-07-12,0,val,R4_dropRedundant,kmeans
81,Resort Hotel,368,2015,July,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,55.68,0,0,1,Canceled,2015-05-19,0,train,R4_dropRedundant,kmeans
82,Resort Hotel,364,2015,July,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,55.68,0,0,0,Check-Out,2015-07-13,0,train,R4_dropRedundant,kmeans
83,Resort Hotel,81,2015,July,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,No Deposit,Transient,124.0,0,1,1,Canceled,2015-06-09,0,train,R4_dropRedundant,kmeans
84,Resort Hotel,99,2015,July,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,111.15,0,0,0,Check-Out,2015-07-13,0,train,R4_dropRedundant,kmeans
85,Resort Hotel,324,2015,July,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,134.73,0,0,0,Check-Out,2015-07-17,0,train,R4_dropRedundant,kmeans
86,Resort Hotel,69,2015,July,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,No Deposit,Transient,92.45,0,1,0,Check-Out,2015-07-17,0,train,R4_dropRedundant,kmeans
87,Resort Hotel,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,108.73,0,2,1,Canceled,2015-04-15,0,train,R4_dropRedundant,kmeans
88,Resort Hotel,12,2015,July,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,73.8,0,0,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
89,Resort Hotel,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,98.0,1,2,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
90,Resort Hotel,1,2015,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,131.0,0,1,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
91,Resort Hotel,21,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,123.0,0,0,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
92,Resort Hotel,9,2015,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,Other,No Deposit,Transient,94.71,0,0,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
93,Resort Hotel,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,123.0,0,2,0,Check-Out,2015-07-04,0,train,R4_dropRedundant,kmeans
94,Resort Hotel,109,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,123.0,0,1,1,Canceled,2015-05-26,0,train,R4_dropRedundant,kmeans
95,Resort Hotel,72,2015,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,73.8,0,1,1,Canceled,2015-06-29,0,train,R4_dropRedundant,kmeans
96,Resort Hotel,63,2015,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,No Deposit,Transient,117.0,0,1,1,Canceled,2015-05-13,0,train,R4_dropRedundant,kmeans
97,Resort Hotel,63,2015,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Transient,196.54,0,1,0,Check-Out,2015-07-10,0,val,R4_dropRedundant,kmeans
98,Resort Hotel,101,2015,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,99.3,1,2,0,Check-Out,2015-07-10,0,train,R4_dropRedundant,kmeans
99,Resort Hotel,102,2015,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,No Deposit,Transient,90.95,0,0,0,Check-Out,2015-07-10,0,train,R4_dropRedundant,kmeans
100,Resort Hotel,4,2015,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,No Deposit,Transient,92.67,0,1,0,Check-Out,2015-07-07,0,train,R4_dropRedundant,kmeans
101,Resort Hotel,98,2015,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,71.55,1,0,0,Check-Out,2015-07-07,0,val,R4_dropRedundant,kmeans
102,Resort Hotel,92,2015,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,No Deposit,Transient,96.49,0,2,0,Check-Out,2015-07-10,0,train,R4_dropRedundant,kmeans
103,Resort Hotel,95,2015,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,85.8,1,2,0,Check-Out,2015-07-10,0,train,R4_dropRedundant,kmeans
104,Resort Hotel,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,96.3,0,1,0,Check-Out,2015-07-11,0,val,R4_dropRedundant,kmeans
105,Resort Hotel,26,2015,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,Other,No Deposit,Transient,163.0,0,0,1,Canceled,2015-06-09,0,train,R4_dropRedundant,kmeans
106,Resort Hotel,73,2015,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,No Deposit,Transient,172.0,0,1,1,Canceled,2015-05-20,0,train,R4_dropRedundant,kmeans
107,Resort Hotel,102,2015,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,110.7,0,1,1,Canceled,2015-04-22,0,train,R4_dropRedundant,kmeans
108,Resort Hotel,115,2015,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,58.95,0,1,0,Check-Out,2015-07-11,0,val,R4_dropRedundant,kmeans
109,Resort Hotel,102,2015,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,73.8,0,2,0,Check-Out,2015-07-11,0,train,R4_dropRedundant,kmeans
110,Resort Hotel,86,2015,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,97.0,0,2,0,Check-Out,2015-07-11,0,train,R4_dropRedundant,kmeans
111,Resort Hotel,78,2015,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,139.0,0,2,0,Check-Out,2015-07-11,0,train,R4_dropRedundant,kmeans
112,Resort Hotel,52,2015,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,67.24,0,0,0,Check-Out,2015-07-11,0,train,R4_dropRedundant,kmeans
113,Resort Hotel,29,2015,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,116.5,0,1,0,Check-Out,2015-07-12,0,train,R4_dropRedundant,kmeans
114,Resort Hotel,101,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,96.3,0,1,1,Canceled,2015-05-12,0,train,R4_dropRedundant,kmeans
115,Resort Hotel,109,2015,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,123.0,0,1,0,Check-Out,2015-07-12,0,train,R4_dropRedundant,kmeans
116,Resort Hotel,92,2015,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,71.55,0,1,0,Check-Out,2015-07-14,0,val,R4_dropRedundant,kmeans
117,Resort Hotel,92,2015,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,71.55,0,1,0,Check-Out,2015-07-14,0,train,R4_dropRedundant,kmeans
118,Resort Hotel,79,2015,July,27,4,4,6,2,1,0,HB,PRT,Direct,Direct,0,0,0,D,No Deposit,Transient,149.0,0,1,0,Check-Out,2015-07-14,0,train,R4_dropRedundant,kmeans
119,Resort Hotel,2,2015,July,27,4,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,Other,No Deposit,Transient,163.0,1,0,0,Check-Out,2015-07-05,0,val,R4_dropRedundant,kmeans
120,Resort Hotel,30,2015,July,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Contract,79.5,0,0,0,Check-Out,2015-07-05,0,val,R4_dropRedundant,kmeans
121,Resort Hotel,51,2015,July,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,105.0,0,0,1,Canceled,2015-05-29,0,train,R4_dropRedundant,kmeans
122,Resort Hotel,36,2015,July,27,4,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,No Deposit,Transient,123.0,0,0,1,No-Show,2015-07-04,0,val,R4_dropRedundant,kmeans
123,Resort Hotel,73,2015,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,73.8,0,2,1,Canceled,2015-05-13,0,train,R4_dropRedundant,kmeans
